近地铁 配套成熟 自住精装 中间楼层 业主置换诚售,https://hz.lianjia.com/ershoufang/103131846262.html,恒大帝景 ,南部卧城,26870元/平,368万,5室2厅 | 136.96平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
不靠高架，户型方正，楼层好，房东诚心。,https://hz.lianjia.com/ershoufang/103132249213.html,泰悦银座 ,义桥,13320元/平,128万,3室2厅 | 96.1平米 | 东南 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-01 23:04:00
江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-01 23:04:00
户型方正，西边套 视野好 可看钱塘江,https://hz.lianjia.com/ershoufang/103134166568.html,日耀之城 ,钱江世纪城,57030元/平,720万,4室2厅 | 126.25平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
边套户型的好楼层 满五唯一的.,https://hz.lianjia.com/ershoufang/103128683719.html,恒大帝景 ,南部卧城,28066元/平,252万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
浙二医院近，楼层好 满5唯一 带精装家具家电35万＋,https://hz.lianjia.com/ershoufang/103133635166.html,碧桂园天麓府 ,南部卧城,24787元/平,215万,3室2厅 | 86.74平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
君品名邸 滨江品质 好楼层 景观位置 5室改善 诚心,https://hz.lianjia.com/ershoufang/103127158297.html,君品名邸 ,钱江世纪城,62642元/平,1080万,5室2厅 | 172.41平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
业主诚心出售 采光充足 视野宽阔,https://hz.lianjia.com/ershoufang/103132216873.html,南城景园 ,南部卧城,16031元/平,139万,3室2厅 | 86.71平米 | 南 | 精装 | 6层  | 板楼,2024-08-01 23:04:00
带电梯，边套159方4房2卫 带全新精装80万,https://hz.lianjia.com/ershoufang/103132771879.html,美之园西区 ,湘湖,23668元/平,378万,4室2厅 | 159.71平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2024-08-01 23:04:00
满五唯一，近地铁，业主诚售，电梯房小户型,https://hz.lianjia.com/ershoufang/103133943558.html,中誉现代城 ,萧山新城区,21460元/平,100万,1室1厅 | 46.6平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 23:04:00
边套户型，业主诚售，看房很方便.,https://hz.lianjia.com/ershoufang/103128905212.html,滨江御虹府 ,钱江世纪城,55285元/平,658万,4室2厅 | 119.02平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
满二唯一 楼层好  保养好 房东诚心出售看房有密码,https://hz.lianjia.com/ershoufang/103132100274.html,通惠江南名府 ,萧山新城区,30761元/平,275万,3室1厅 | 89.4平米 | 南 | 精装 | 中楼层(共27层)  | 板楼,2024-08-01 23:04:00
五号线地铁 全新精装修 西边套户型 看房方便 楼层好,https://hz.lianjia.com/ershoufang/103132514677.html,花栖云境里 ,萧山开发区,21915元/平,255万,4室2厅 | 116.36平米 | 南 北 | 精装 | 高楼层(共16层)  | 暂无数据,2024-08-01 23:04:00
视野好的 新交付小区 环境好 楼层好,https://hz.lianjia.com/ershoufang/103132712512.html,德信金科泊岸江宸轩 ,南部卧城,16934元/平,182万,3室2厅 | 107.48平米 | 南 | 精装 | 高楼层(共23层)  | 板楼,2024-08-01 23:04:00
纯边套，房东诚售！买房提供免费设计服务！价格能谈！,https://hz.lianjia.com/ershoufang/103132404961.html,顺发美颂城 ,钱江世纪城,31047元/平,300万,3室1厅 | 96.63平米 | 东 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
店长推荐 一号线南阳地铁  小三房 自住装修，满二,https://hz.lianjia.com/ershoufang/103131743346.html,大诚纪名府 ,大江东,20328元/平,180万,3室2厅 | 88.55平米 | 南 | 精装 | 14层  | 板塔结合,2024-08-01 23:04:00
南北通透格局，精装交付，楼层好，采光好。,https://hz.lianjia.com/ershoufang/103118549152.html,东旭府 ,义桥,16585元/平,199万,4室2厅 | 119.99平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2024-08-01 23:04:00
C位楼中间套客厅带阳台自住精心装修40万 拓展面积22方,https://hz.lianjia.com/ershoufang/103131850795.html,华瑞晴庐 ,萧山新城区,32831元/平,285万,3室2厅 | 86.81平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
房东诚心卖，楼层好，满五唯一税费少，看房方便,https://hz.lianjia.com/ershoufang/103126595107.html,德信君宸 ,萧山新城区,38604元/平,345万,3室2厅 | 89.37平米 | 南 | 简装 | 21层  | 板楼,2024-08-01 23:04:00
精装修的，4.5米层高 诚心出售 价格可以谈,https://hz.lianjia.com/ershoufang/103124025921.html,百富联合国际奥体之星 ,钱江世纪城,14376元/平,66万,2室1厅 | 45.91平米 | 南 西 | 精装 | 低楼层(共18层)  | 塔楼,2024-08-01 23:04:00
高桥初衷！高品质小区满五唯一户型楼层好采光好,https://hz.lianjia.com/ershoufang/103129955255.html,得力名门世家 ,南部卧城,41080元/平,370万,4室2厅 | 90.07平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,2024-08-01 23:04:00
繁华地带，配套齐，各大综合体齐聚左右500米内,https://hz.lianjia.com/ershoufang/103133669156.html,天润商业中心 ,萧山市区,16602元/平,93万,2室1厅 | 56.02平米 | 北 | 简装 | 低楼层(共22层)  | 板塔结合,2024-08-01 23:04:00
绿城品质，边套户型，好楼层，精装修，房东诚心出售,https://hz.lianjia.com/ershoufang/103133176515.html,桂语听澜轩 ,萧山新城区,50543元/平,657万,4室2厅 | 129.99平米 | 南 西 北 | 精装 | 高楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
滨江物业，业主诚心出售，楼幢位置安静，采光不遮挡,https://hz.lianjia.com/ershoufang/103131647198.html,兴耀星漫里 ,萧山新城区,39014元/平,375万,3室1厅 | 96.12平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
亚运村  万科日耀之城   滨水区大开间朝南4房,https://hz.lianjia.com/ershoufang/103134031157.html,日耀之城 ,钱江世纪城,58260元/平,838万,4室2厅 | 143.84平米 | 南 北 | 精装 | 24层  | 塔楼,2024-08-01 23:04:00
地铁口上盖，精装修，拎包入住，带地暖，满二,https://hz.lianjia.com/ershoufang/103120380958.html,绿城九龙仓桂语朝阳 ,南部卧城,27329元/平,265万,3室2厅 | 96.97平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 23:04:00
房东诚心出售，精装修，楼层采光好，满二,https://hz.lianjia.com/ershoufang/103131572863.html,碧桂园天麓府 ,南部卧城,24167元/平,211万,3室2厅 | 87.31平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
南江商业中心 曹家桥地铁口朝南带阳台靠河采光足拎包,https://hz.lianjia.com/ershoufang/103134117848.html,南江商业中心 ,南部卧城,10846元/平,64万,1室0厅 | 59.01平米 | 南 | 精装 | 高楼层(共25层)  | 板楼,2024-08-01 23:04:00
浙二医院边 15号线地铁口 满二唯一 车位可以停两辆车,https://hz.lianjia.com/ershoufang/103122957199.html,德信碧桂园印江南 ,南部卧城,24784元/平,240万,3室2厅 | 96.84平米 | 南 | 毛坯 | 高楼层(共20层)  | 塔楼,2024-08-01 23:04:00
开发商精装交付，楼幢好，楼层好，诚心出售,https://hz.lianjia.com/ershoufang/103131271089.html,青漫里 ,南部卧城,25310元/平,235万,3室2厅 | 92.85平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,2024-08-01 23:04:00
浙二旁十五号线地铁口精装两房诚心出售,https://hz.lianjia.com/ershoufang/103130511336.html,南润名座 ,南部卧城,10884元/平,109万,2室2厅 | 100.15平米 | 南 | 精装 | 低楼层(共22层)  | 板楼,2024-08-01 23:04:00
高层边套 视野开阔无遮挡 精装带地暖 看房方便 带车位,https://hz.lianjia.com/ershoufang/103134273753.html,顺发江南丽锦 ,钱江世纪城,43707元/平,608万,5室2厅 | 139.11平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-01 23:04:00
浙二医院旁，精装交付，次新小区，房东诚心,https://hz.lianjia.com/ershoufang/103123861234.html,佳印府 ,南部卧城,26677元/平,325万,4室2厅 | 121.83平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2024-08-01 23:04:00
莱茵传奇，89方业主自住装修，楼层好，保养好，诚心出,https://hz.lianjia.com/ershoufang/103131227641.html,高运莱茵传奇 ,萧山新城区,41398元/平,365万,3室2厅 | 88.17平米 | 南 | 精装 | 18层  | 板塔结合,2024-08-01 23:04:00
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132259490.html,萧悦中御府 ,萧山新城区,32159元/平,355万,3室2厅 | 110.39平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
7号线地铁口 自住精装 随时看房诚心置换 全天采好,https://hz.lianjia.com/ershoufang/103133296087.html,博印名邸 ,萧山开发区,28559元/平,252万,3室2厅 | 88.24平米 | 南 | 精装 | 26层  | 板楼,2024-08-01 23:04:00
房东小孩出售留学诚售此房  价格能谈,https://hz.lianjia.com/ershoufang/103132285837.html,滨江新城东方名府 ,萧山新城区,29944元/平,379万,4室1厅 | 126.57平米 | 东南 南 | 毛坯 | 中楼层(共20层)  | 板塔结合,2024-08-01 23:04:00
郡望府  东边套   户型采光好,https://hz.lianjia.com/ershoufang/103134000431.html,郡望府 ,萧山开发区,27547元/平,245万,4室2厅 | 88.94平米 | 南 | 简装 | 低楼层(共27层)  | 板塔结合,2024-08-01 23:04:00
精装修，满二唯一，无遮挡采光不错,https://hz.lianjia.com/ershoufang/103125441671.html,创世邸 ,钱江世纪城,67940元/平,605万,3室2厅 | 89.05平米 | 南 | 精装 | 32层  | 板塔结合,2024-08-01 23:04:00
次新房低总价西边套采光好两房朝南,https://hz.lianjia.com/ershoufang/103133409095.html,新城璟隽公馆 ,萧山新城区,29040元/平,255万,3室2厅 | 87.81平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2024-08-01 23:04:00
国泰花园 金浦明苑旁 电梯房 中楼层 房东诚心出售,https://hz.lianjia.com/ershoufang/103129681192.html,众安国泰花园 ,萧山新城区,25007元/平,365万,3室2厅 | 145.96平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,2024-08-01 23:04:00
不靠高架，户型方正，楼层好，房东诚心。,https://hz.lianjia.com/ershoufang/103132249213.html,泰悦银座 ,义桥,13320元/平,128万,3室2厅 | 96.1平米 | 东南 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,2024-08-01 23:04:00
江南学府 中高楼层 采光视线好 诚心出售,https://hz.lianjia.com/ershoufang/103133384826.html,融信江南学府 ,萧山新城区,38915元/平,340万,3室2厅 | 87.37平米 | 南 | 简装 | 33层  | 板楼,2024-08-01 23:04:00
诚心卖一线江景 视野好 大小莲花尽收眼底,https://hz.lianjia.com/ershoufang/103128454229.html,保亿绿城奥邸国际 ,奥体,105493元/平,1965万,4室2厅 | 186.27平米 | 南 | 精装 | 中楼层(共48层)  | 板楼,2024-08-01 23:04:00
蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-01 23:04:00
5号地铁 3房精装 不靠高架不靠山 好楼层 看房方便,https://hz.lianjia.com/ershoufang/103133010001.html,得力名望府 ,萧山开发区,23212元/平,208万,3室2厅 | 89.61平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
五开间朝南，自住精装，房东诚心出售，大五房户型,https://hz.lianjia.com/ershoufang/103132334397.html,中旅名门府新境 ,萧山新城区,40598元/平,720万,5室2厅 | 177.35平米 | 南 西 北 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
户型方正，西边套 视野好 可看钱塘江,https://hz.lianjia.com/ershoufang/103134166568.html,日耀之城 ,钱江世纪城,57030元/平,720万,4室2厅 | 126.25平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,38367元/平,495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
房东诚心出售   看房方便   价格还可以谈的,https://hz.lianjia.com/ershoufang/103133190758.html,悦风荷锦庭 ,义桥,17596元/平,168万,3室2厅 | 95.48平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 23:04:00
萧山市区少有的排屋，次新刚交付的小区带露台环境好,https://hz.lianjia.com/ershoufang/103130207581.html,中天云望 ,萧山市区,56444元/平,950万,4室1厅 | 168.31平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2024-08-01 23:04:00
圣都精装30万3房2卫 中高楼层 满五唯一 看房方便诚售,https://hz.lianjia.com/ershoufang/103133570792.html,德信泊林春天 ,钱江世纪城,25849元/平,230万,3室2厅 | 88.98平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
满二唯一，滨江物业带泳池，洋房后视野好，银河学府,https://hz.lianjia.com/ershoufang/103129340066.html,融信江南学府 ,萧山新城区,37565元/平,480万,4室2厅 | 127.78平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2024-08-01 23:04:00
满五唯一，多层洋房，视野好，房东急售,https://hz.lianjia.com/ershoufang/103128432894.html,华瑞湘湖美地 ,湘湖,23799元/平,300万,3室2厅 | 126.06平米 | 南 | 简装 | 7层  | 板楼,2024-08-01 23:04:00
双金山 地铁口 跃层毛坯顶楼带花园  看房方便,https://hz.lianjia.com/ershoufang/103134488363.html,金地德圣中心 ,萧山市区,47298元/平,420万,3室2厅 | 88.8平米 | 南 | 毛坯 | 27层  | 板楼,2024-08-01 23:04:00
买一层多一层，60万精装拎包入住，小区中间阳光不挡，,https://hz.lianjia.com/ershoufang/103123471081.html,顺发美哉美城 ,钱江世纪城,62758元/平,610万,4室1厅 | 97.2平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 23:04:00
中间楼层，近地铁，业主诚售，包增值税,https://hz.lianjia.com/ershoufang/103128122764.html,中誉现代城 ,萧山新城区,18812元/平,125万,1室1厅 | 66.45平米 | 北 | 简装 | 低楼层(共17层)  | 板楼,2024-08-01 23:04:00
边上近银泰，生活配套成熟，交通方便,https://hz.lianjia.com/ershoufang/103130403210.html,高运高庄 ,萧山开发区,26869元/平,238万,3室2厅 | 88.58平米 | 南 | 精装 | 高楼层(共34层)  | 板楼,2024-08-01 23:04:00
精装修交付，地铁口，不靠高架，随时看房,https://hz.lianjia.com/ershoufang/103133943216.html,阳光城滨奥悦府 ,钱江世纪城,63808元/平,680万,3室2厅 | 106.57平米 | 南 | 精装 | 17层  | 板楼,2024-08-01 23:04:00
房东诚心出售   价格可以谈的  小区环境好  视野开阔,https://hz.lianjia.com/ershoufang/103133029406.html,悦风荷锦庭 ,义桥,16946元/平,162万,3室2厅 | 95.6平米 | 南 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 23:04:00
朝南高楼层小户型，诚心出售好房，户型方正。,https://hz.lianjia.com/ershoufang/103128639188.html,北干一苑 ,萧山市区,39092元/平,105万,1室1厅 | 26.86平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
次新电梯房，配套成熟，中楼层，精装带地暖，业主诚售,https://hz.lianjia.com/ershoufang/103133159995.html,恒大帝景 ,南部卧城,22465元/平,202万,3室1厅 | 89.92平米 | 南 北 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
保利潮起云上府 全新大三房 南北通透 业主诚心急卖,https://hz.lianjia.com/ershoufang/103134186459.html,保利潮起云上府 ,萧山新城区,35160元/平,360万,3室2厅 | 102.39平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,2024-08-01 23:04:00
万科开发 有中Y空调、地暖和新风系统 户型好 采光足,https://hz.lianjia.com/ershoufang/103126158932.html,樟宜翠湾 ,南部卧城,25607元/平,248万,3室2厅 | 96.85平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
7号线地铁口，中铁雅逸府精装户型，三开间朝南三居室,https://hz.lianjia.com/ershoufang/103120772194.html,中铁诺德雅逸府 ,萧山开发区,26274元/平,228万,3室2厅 | 86.78平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-01 23:04:00
7号线地铁口，楼层好，通透户型，正对花园业主诚心卖,https://hz.lianjia.com/ershoufang/103132381332.html,博印名邸 ,萧山开发区,28303元/平,250万,3室2厅 | 88.33平米 | 南 北 | 精装 | 27层  | 板楼,2024-08-01 23:04:00
满二 全新未住人 采光好无遮挡 精装zhong央空调带地暖,https://hz.lianjia.com/ershoufang/103134753746.html,久赋名邸 ,南部卧城,32379元/平,320万,3室2厅 | 98.83平米 | 南 北 | 精装 | 中楼层(共34层)  | 塔楼,2024-08-01 23:04:00
日耀之城！边套大三房！业主急售！要做小区首套成交,https://hz.lianjia.com/ershoufang/103134015486.html,日耀之城 ,钱江世纪城,51420元/平,652万,4室2厅 | 126.8平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
好楼层，精装修，房东诚心出售。,https://hz.lianjia.com/ershoufang/103133518206.html,恒大帝景 ,南部卧城,24555元/平,208万,3室2厅 | 84.71平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
风荷锦庭 精装修大三房 三开间朝南 位置安静 诚心可谈,https://hz.lianjia.com/ershoufang/103120050375.html,悦风荷锦庭 ,义桥,17141元/平,164万,3室2厅 | 95.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 23:04:00
亚奥板块中间楼幢的中间位置，罕见方正户型南北通,https://hz.lianjia.com/ershoufang/103132113280.html,顺发美颂城 ,钱江世纪城,31225元/平,305万,3室2厅 | 97.68平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,2024-08-01 23:04:00
精装两房，地铁口交通便利 配套齐全楼层好 视野宽阔,https://hz.lianjia.com/ershoufang/103128584531.html,名城大厦 ,萧山市区,14319元/平,69万,2室1厅 | 48.19平米 | 西 北 | 精装 | 16层  | 板楼,2024-08-01 23:04:00
2号线曹家桥1公里，楼层好视野好，自带幼儿园.满五年,https://hz.lianjia.com/ershoufang/103131752773.html,广泽小区 ,南部卧城,18158元/平,138万,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,2024-08-01 23:04:00
近世纪城联排边套 精装八百万 边套大花园 拎包入住,https://hz.lianjia.com/ershoufang/103128025781.html,科尔世纪外滩 ,萧山科技城,55685元/平,2080万,5室3厅 | 373.53平米 | 南 北 | 精装 | 3层  | 板楼,2024-08-01 23:04:00
湘湖人家洋房户型，自住精装修，三开间朝南,https://hz.lianjia.com/ershoufang/103133994372.html,湘湖人家 ,闻堰,19392元/平,165万,2室1厅 | 85.09平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,2024-08-01 23:04:00
精装四十多万，新风系统，从未出租入住过边套隐私性好,https://hz.lianjia.com/ershoufang/103129673050.html,滨江江南之星 ,萧山新城区,39817元/平,355万,3室2厅 | 89.16平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
远离高架！楼幢位置好，楼层好！房东诚心卖，价可谈,https://hz.lianjia.com/ershoufang/103131918075.html,顺发美颂城 ,钱江世纪城,30713元/平,300万,3室1厅 | 97.68平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 23:04:00
五号线地铁口，自住精装修，满五唯一 急售,https://hz.lianjia.com/ershoufang/103130109380.html,得力名望府 ,萧山开发区,26462元/平,158万,2室1厅 | 59.71平米 | 南 | 精装 | 25层  | 板楼,2024-08-01 23:04:00
高层中间套，满五唯一，楼下幼儿园，看房方便,https://hz.lianjia.com/ershoufang/103134751586.html,御景蓝湾 ,义桥,24334元/平,218万,3室2厅 | 89.59平米 | 南 | 精装 | 27层  | 板塔结合,2024-08-01 23:04:00
国际大会展中  心旁 99方 纯边套，地铁口 满两年,https://hz.lianjia.com/ershoufang/103133361744.html,大诚纪名府 ,大江东,18590元/平,185万,3室1厅 | 99.52平米 | 南 | 精装 | 14层  | 板楼,2024-08-01 23:04:00
南阳地铁口 95方三房两卫 东边套 诚心,https://hz.lianjia.com/ershoufang/103131846871.html,阅杭里 ,大江东,18529元/平,176万,3室2厅 | 94.99平米 | 南 北 | 精装 | 10层  | 板楼,2024-08-01 23:04:00
精装交付，次新小区，房东诚心，地铁15号线,https://hz.lianjia.com/ershoufang/103133519081.html,佳印府 ,南部卧城,27265元/平,239万,3室2厅 | 87.66平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2024-08-01 23:04:00
近奥体滨江 房东诚心卖 不靠高架 满二 采光视野好,https://hz.lianjia.com/ershoufang/103132401281.html,龙湖旭辉春江悦茗 ,萧山新城区,36978元/平,300万,3室2厅 | 81.13平米 | 南 | 精装 | 30层  | 板塔结合,2024-08-01 23:04:00
此房满五的 业主自住精装修 楼层高 采光好,https://hz.lianjia.com/ershoufang/103132098348.html,三水一生 ,义桥,13040元/平,156万,3室2厅 | 119.64平米 | 东南 南 | 精装 | 5层  | 板楼,2024-08-01 23:04:00
满2年 无增值税  首付2成 天璞御园 近地铁,https://hz.lianjia.com/ershoufang/103129334950.html,天璞御园 ,钱江世纪城,64558元/平,700万,3室2厅 | 108.43平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,2024-08-01 23:04:00
金域东方园 纯边套 精装修 家电家具齐全 拎包入住,https://hz.lianjia.com/ershoufang/103133371365.html,绿都金域东方 ,义桥,19000元/平,169万,3室2厅 | 88.95平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,2024-08-01 23:04:00
广泽小区 2室2厅 南,https://hz.lianjia.com/ershoufang/103134270979.html,广泽小区 ,南部卧城,17061元/平,130万,2室2厅 | 76.2平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,2024-08-01 23:04:00
五房开发商精装修，一梯两户，未入住，有车位两个。,https://hz.lianjia.com/ershoufang/103120918491.html,滨江江南之星 ,萧山新城区,58270元/平,810万,5室2厅 | 139.01平米 | 南 | 精装 | 11层  | 板楼,2024-08-01 23:04:00
边套户型的好楼层 满五唯一的.,https://hz.lianjia.com/ershoufang/103128683719.html,恒大帝景 ,南部卧城,28066元/平,252万,3室2厅 | 89.79平米 | 南 | 精装 | 30层  | 板楼,2024-08-01 23:04:00
地铁口，诚心出售，视野宽阔，交通便利,https://hz.lianjia.com/ershoufang/103132276513.html,萧悦中御府 ,萧山新城区,30420元/平,270万,3室2厅 | 88.76平米 | 南 | 精装 | 33层  | 板楼,2024-08-01 23:04:00
北干华达社区，楼层好，附大平台，阳光房已包进，可议,https://hz.lianjia.com/ershoufang/103134586143.html,北干一苑 ,萧山市区,25705元/平,239万,3室2厅 | 92.98平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,2024-08-01 23:04:00
急售好房推荐，凤凰层视野开阔，价格有优势，看房随时,https://hz.lianjia.com/ershoufang/103133498842.html,滨江望涛月明 ,萧山新城区,37266元/平,405万,3室2厅 | 108.68平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,2024-08-01 23:04:00
楼层，视野好没住过 价格可以谈 诚心出售 随时看房,https://hz.lianjia.com/ershoufang/103125377523.html,嘉宸天誉名轩 ,萧山新城区,46855元/平,420万,3室2厅 | 89.64平米 | 南 | 精装 | 34层  | 板楼,2024-08-01 23:04:00
业主自住精装 现代装修风格 楼层采光好 诚心出售,https://hz.lianjia.com/ershoufang/103134137848.html,华瑞晴庐 ,萧山新城区,30590元/平,275万,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,2024-08-01 23:04:00
蜀山，广宁小区，76方，户型方正，中间楼层，满五唯一,https://hz.lianjia.com/ershoufang/103133381354.html,广宁小区 ,南部卧城,18975元/平,145万,2室2厅 | 76.42平米 | 南 | 精装 | 6层  | 平房,2024-08-01 23:04:00
金色钱塘三期，精装修带地暖，保养好 可直接入住,https://hz.lianjia.com/ershoufang/103132425082.html,金色钱塘 ,萧山新城区,27894元/平,341万,4室2厅 | 122.25平米 | 南 | 精装 | 24层  | 板塔结合,2024-08-01 23:04:00
奥邸国际高区大平层  视野开阔 采光充足 诚心出售,https://hz.lianjia.com/ershoufang/103130501472.html,保亿绿城奥邸国际 ,奥体,67063元/平,271万,3室2厅 | 40.41平米 | 东 南 北 | 精装 | 中楼层(共54层)  | 板楼,2024-08-01 23:04:00
房东要出国啦 忍痛割爱 含车位 无噪音影响,https://hz.lianjia.com/ershoufang/103125466038.html,滨江新城东方名府 ,萧山新城区,31613元/平,390万,4室2厅 | 123.37平米 | 南 | 精装 | 高楼层(共20层)  | 板楼,2024-08-01 23:04:00
潘水南苑复式带阁楼，空间感十足，业主诚心出售！,https://hz.lianjia.com/ershoufang/103120622672.html,潘水南苑 ,萧山市区,19870元/平,268万,3室2厅 | 134.88平米 | 南 | 简装 | 6层  | 板塔结合,2024-08-01 23:04:00
五开间朝南，自住精装，房东诚心出售，大五房户型,https://hz.lianjia.com/ershoufang/103132334397.html,中旅名门府新境 ,萧山新城区,40598元/平,720万,5室2厅 | 177.35平米 | 南 西 北 | 精装 | 中楼层(共26层)  | 板塔结合,2024-08-01 23:04:00
市北品质小区 滨江双子 此房视野好位置安静  看房方便,https://hz.lianjia.com/ershoufang/103133963790.html,滨江望涛月明 ,萧山新城区,38367元/平,495万,4室2厅 | 129.02平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,2024-08-01 23:04:00
